accession,model_entity_id,latest_version,mean_plddt,organism,tax_id,gene,description,uniprot_id,seq_length,cif_url
A0A7C4D2X1,AF-A0A7C4D2X1-F1,6,96.38,Thermofilum pendens,2269,ENU21_01795,Biotin protein ligase C-terminal domain-containing protein,A0A7C4D2X1_THEPE,43,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D2X1-F1-model_v6.cif
A0A7C4D3B7,AF-A0A7C4D3B7-F1,6,96.88,Candidatus Bathyarchaeota archaeon,2026714,ENU26_02775,Nucleotidyltransferase domain-containing protein,A0A7C4D3B7_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D3B7-F1-model_v6.cif
A0A7C4D481,AF-A0A7C4D481-F1,6,96.12,Candidatus Bathyarchaeota archaeon,2026714,ENU26_05745,inorganic diphosphatase,A0A7C4D481_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D481-F1-model_v6.cif
A0A7C4D4U5,AF-A0A7C4D4U5-F1,6,97.5,Candidatus Bathyarchaeota archaeon,2026714,ENU26_08385,Peroxiredoxin,A0A7C4D4U5_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C4D4U5-F1-model_v6.cif
A0A7C4DB51,AF-A0A7C4DB51-F1,6,95.69,Candidatus Bathyarchaeota archaeon,2026714,ENU13_06130,Cupin domain-containing protein,A0A7C4DB51_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4DB51-F1-model_v6.cif
A0A7C4DVK1,AF-A0A7C4DVK1-F1,6,95.94,Candidatus Bathyarchaeota archaeon,2026714,ENT69_02865,GH10 domain-containing protein,A0A7C4DVK1_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C4DVK1-F1-model_v6.cif
A0A7C4DZ89,AF-A0A7C4DZ89-F1,6,96.62,Caldiarchaeum subterraneum,311458,ENT82_01435,tRNA(Ile2) 2-agmatinylcytidine synthetase,A0A7C4DZ89_CALS0,43,https://alphafold.ebi.ac.uk/files/AF-A0A7C4DZ89-F1-model_v6.cif
A0A7C4F165,AF-A0A7C4F165-F1,6,96.06,Hadesarchaea archaeon,2250276,ENV40_00220,Shikimate dehydrogenase,A0A7C4F165_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C4F165-F1-model_v6.cif
A0A7C4FBN7,AF-A0A7C4FBN7-F1,6,96.06,Candidatus Bathyarchaeota archaeon,2026714,ENV18_04415,DegT/DnrJ/EryC1/StrS aminotransferase family protein,A0A7C4FBN7_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C4FBN7-F1-model_v6.cif
A0A7C4FEM6,AF-A0A7C4FEM6-F1,6,96.06,Hadesarchaea archaeon,2250276,ENV01_04550,Phosphotransferase,A0A7C4FEM6_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C4FEM6-F1-model_v6.cif
A0A7C4GES3,AF-A0A7C4GES3-F1,6,95.12,Candidatus Aenigmatarchaeota archaeon,3121606,ENU73_01455,Uncharacterized protein,A0A7C4GES3_9ARCH,35,https://alphafold.ebi.ac.uk/files/AF-A0A7C4GES3-F1-model_v6.cif
A0A7C4GGW0,AF-A0A7C4GGW0-F1,6,95.75,Thermoproteota archaeon,2056631,ENU98_04425,FAD-binding protein,A0A7C4GGW0_9CREN,36,https://alphafold.ebi.ac.uk/files/AF-A0A7C4GGW0-F1-model_v6.cif
A0A7C4GN29,AF-A0A7C4GN29-F1,6,97.56,Thermoproteota archaeon,2056631,ENU98_04660,FAD-binding domain-containing protein,A0A7C4GN29_9CREN,32,https://alphafold.ebi.ac.uk/files/AF-A0A7C4GN29-F1-model_v6.cif
A0A7C4GR21,AF-A0A7C4GR21-F1,6,95.88,Candidatus Bathyarchaeota archaeon,2026714,ENU49_09035,Fumarate hydratase,A0A7C4GR21_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C4GR21-F1-model_v6.cif
A0A7C4GSI3,AF-A0A7C4GSI3-F1,6,96.75,Nitrososphaeria archaeon,2268198,ENU61_08110,"Ribose 1,5-bisphosphate isomerase",A0A7C4GSI3_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A7C4GSI3-F1-model_v6.cif
A0A7C4GSQ4,AF-A0A7C4GSQ4-F1,6,97.06,Candidatus Bathyarchaeota archaeon,2026714,ENU49_10675,Molybdenum cofactor biosynthesis protein,A0A7C4GSQ4_9ARCH,29,https://alphafold.ebi.ac.uk/files/AF-A0A7C4GSQ4-F1-model_v6.cif
A0A7C4GW05,AF-A0A7C4GW05-F1,6,96.75,Candidatus Bathyarchaeota archaeon,2026714,ENU49_10480,Pyruvoyl-dependent arginine decarboxylase,A0A7C4GW05_9ARCH,33,https://alphafold.ebi.ac.uk/files/AF-A0A7C4GW05-F1-model_v6.cif
A0A7C4H0M2,AF-A0A7C4H0M2-F1,6,97.56,Candidatus Bathyarchaeota archaeon,2026714,ENT70_06035,acylphosphatase,A0A7C4H0M2_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C4H0M2-F1-model_v6.cif
A0A7C4H515,AF-A0A7C4H515-F1,6,95.06,Candidatus Bathyarchaeota archaeon,2026714,ENU26_00940,ATP-cone domain-containing protein,A0A7C4H515_9ARCH,33,https://alphafold.ebi.ac.uk/files/AF-A0A7C4H515-F1-model_v6.cif
A0A7C4H7N1,AF-A0A7C4H7N1-F1,6,96.44,Candidatus Bathyarchaeota archaeon,2026714,ENU26_02300,Ferritin,A0A7C4H7N1_9ARCH,37,https://alphafold.ebi.ac.uk/files/AF-A0A7C4H7N1-F1-model_v6.cif
A0A7C4HAL7,AF-A0A7C4HAL7-F1,6,95.25,Candidatus Bathyarchaeota archaeon,2026714,ENU13_01450,FAD-dependent oxidoreductase,A0A7C4HAL7_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C4HAL7-F1-model_v6.cif
A0A7C4HDC8,AF-A0A7C4HDC8-F1,6,96.88,Candidatus Bathyarchaeota archaeon,2026714,ENU13_09650,Flavodoxin family protein,A0A7C4HDC8_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C4HDC8-F1-model_v6.cif
A0A7C4HL71,AF-A0A7C4HL71-F1,6,96.06,Candidatus Bathyarchaeota archaeon,2026714,ENU07_01010,Phosphopantetheine adenylyltransferase,A0A7C4HL71_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C4HL71-F1-model_v6.cif
A0A7C4HU33,AF-A0A7C4HU33-F1,6,97.0,Candidatus Bathyarchaeota archaeon,2026714,ENT69_01190,Universal stress protein,A0A7C4HU33_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4HU33-F1-model_v6.cif
A0A7C4HZJ5,AF-A0A7C4HZJ5-F1,6,95.19,Candidatus Bathyarchaeota archaeon,2026714,ENT69_03840,16S rRNA methyltransferase,A0A7C4HZJ5_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A7C4HZJ5-F1-model_v6.cif
A0A7C4JB99,AF-A0A7C4JB99-F1,6,96.81,Hadesarchaea archaeon,2250276,ENU56_05340,Uncharacterized protein,A0A7C4JB99_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A7C4JB99-F1-model_v6.cif
A0A7C4JMT3,AF-A0A7C4JMT3-F1,6,96.0,Nitrososphaeria archaeon,2268198,ENT85_02345,Isocitrate/isopropylmalate dehydrogenase family protein,A0A7C4JMT3_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A7C4JMT3-F1-model_v6.cif
A0A7C4JNN4,AF-A0A7C4JNN4-F1,6,96.19,Nitrososphaeria archaeon,2268198,ENT85_01960,HEPN domain-containing protein,A0A7C4JNN4_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C4JNN4-F1-model_v6.cif
A0A7C4KXK7,AF-A0A7C4KXK7-F1,6,96.06,Candidatus Methanomethylicus sp,2282147,ENT10_04175,Cyclophilin TM1367-like domain-containing protein,A0A7C4KXK7_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C4KXK7-F1-model_v6.cif
A0A7C4M5D4,AF-A0A7C4M5D4-F1,6,95.31,Candidatus Bathyarchaeota archaeon,2026714,ENU62_00735,DNA replication and repair protein RecF,A0A7C4M5D4_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A7C4M5D4-F1-model_v6.cif
A0A7C4M8L5,AF-A0A7C4M8L5-F1,6,95.0,Nitrososphaeria archaeon,2268198,ENT44_06400,N-acetyl-gamma-glutamyl-phosphate reductase,A0A7C4M8L5_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A7C4M8L5-F1-model_v6.cif
A0A7C4M8N8,AF-A0A7C4M8N8-F1,6,95.81,Candidatus Bathyarchaeota archaeon,2026714,ENU83_03615,glucose-1-phosphate thymidylyltransferase,A0A7C4M8N8_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C4M8N8-F1-model_v6.cif
A0A7C4MCQ5,AF-A0A7C4MCQ5-F1,6,95.06,Candidatus Bathyarchaeota archaeon,2026714,ENU83_01480,ATP-binding cassette domain-containing protein,A0A7C4MCQ5_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4MCQ5-F1-model_v6.cif
A0A7C4MCW4,AF-A0A7C4MCW4-F1,6,95.81,Candidatus Bathyarchaeota archaeon,2026714,ENU83_20055,Sugar ABC transporter ATP-binding protein,A0A7C4MCW4_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C4MCW4-F1-model_v6.cif
A0A7C4MFI0,AF-A0A7C4MFI0-F1,6,95.44,Candidatus Bathyarchaeota archaeon,2026714,ENU83_10355,"dTDP-glucose 4,6-dehydratase",A0A7C4MFI0_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C4MFI0-F1-model_v6.cif
A0A7C4NC93,AF-A0A7C4NC93-F1,6,95.25,Hadesarchaea archaeon,2250276,ENU56_04440,Homoserine dehydrogenase,A0A7C4NC93_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C4NC93-F1-model_v6.cif
A0A7C4NEZ2,AF-A0A7C4NEZ2-F1,6,95.38,Candidatus Bathyarchaeota archaeon,2026714,ENU35_02035,Ribose-phosphate pyrophosphokinase,A0A7C4NEZ2_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C4NEZ2-F1-model_v6.cif
A0A7C4NIQ4,AF-A0A7C4NIQ4-F1,6,95.69,Candidatus Bathyarchaeota archaeon,2026714,ENU42_01945,Transcription regulator PadR N-terminal domain-containing protein,A0A7C4NIQ4_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C4NIQ4-F1-model_v6.cif
A0A7C4NIY2,AF-A0A7C4NIY2-F1,6,97.38,Candidatus Bathyarchaeota archaeon,2026714,ENU25_04675,HEPN domain-containing protein,A0A7C4NIY2_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C4NIY2-F1-model_v6.cif
A0A7C4NQE1,AF-A0A7C4NQE1-F1,6,95.69,Nitrososphaeria archaeon,2268198,ENT85_02995,Thiolase domain-containing protein,A0A7C4NQE1_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C4NQE1-F1-model_v6.cif
A0A7C4PVJ1,AF-A0A7C4PVJ1-F1,6,96.88,Candidatus Methanomethylicus sp,2282147,egsA,NAD(P)-dependent glycerol-1-phosphate dehydrogenase,A0A7C4PVJ1_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C4PVJ1-F1-model_v6.cif
A0A7C4PZ72,AF-A0A7C4PZ72-F1,6,96.31,Candidatus Methanomethylicus sp,2282147,ENT10_02550,Uncharacterized protein,A0A7C4PZ72_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4PZ72-F1-model_v6.cif
A0A7C4Q0N0,AF-A0A7C4Q0N0-F1,6,95.88,Candidatus Methanomethylicus sp,2282147,ENT10_01750,Glycosyltransferase,A0A7C4Q0N0_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4Q0N0-F1-model_v6.cif
A0A7C4R5B6,AF-A0A7C4R5B6-F1,6,95.62,Candidatus Bathyarchaeota archaeon,2026714,ENU83_07235,Aldo/keto reductase,A0A7C4R5B6_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4R5B6-F1-model_v6.cif
A0A7C4R964,AF-A0A7C4R964-F1,6,96.31,Nitrososphaeria archaeon,2268198,ENT44_05300,CoA transferase,A0A7C4R964_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C4R964-F1-model_v6.cif
A0A7C4RCS8,AF-A0A7C4RCS8-F1,6,95.94,Candidatus Bathyarchaeota archaeon,2026714,ENU62_01325,CoA transferase,A0A7C4RCS8_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4RCS8-F1-model_v6.cif
A0A7C4S1G2,AF-A0A7C4S1G2-F1,6,97.5,Candidatus Bathyarchaeota archaeon,2026714,ENT58_03975,DNA cytosine methyltransferase,A0A7C4S1G2_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C4S1G2-F1-model_v6.cif
A0A7C4S653,AF-A0A7C4S653-F1,6,97.88,Geoglobus ahangari,113653,ENT89_03750,HEPN domain-containing protein,A0A7C4S653_9EURY,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C4S653-F1-model_v6.cif
A0A7C4S8S6,AF-A0A7C4S8S6-F1,6,95.06,Nitrososphaeria archaeon,2268198,ENU85_07305,SDR family oxidoreductase,A0A7C4S8S6_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A7C4S8S6-F1-model_v6.cif
A0A7C4THQ3,AF-A0A7C4THQ3-F1,6,95.0,Acidilobales archaeon,2268176,ENV03_00380,peptidyl-tRNA hydrolase,A0A7C4THQ3_9CREN,45,https://alphafold.ebi.ac.uk/files/AF-A0A7C4THQ3-F1-model_v6.cif
A0A7C4TUE3,AF-A0A7C4TUE3-F1,6,95.06,Candidatus Bathyarchaeota archaeon,2026714,ENV12_02440,Methionine--tRNA ligase,A0A7C4TUE3_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C4TUE3-F1-model_v6.cif
A0A7C4VDL7,AF-A0A7C4VDL7-F1,6,95.19,Candidatus Woesearchaeota archaeon,2026803,ENR30_04060,Diphthine synthase,A0A7C4VDL7_9ARCH,35,https://alphafold.ebi.ac.uk/files/AF-A0A7C4VDL7-F1-model_v6.cif
A0A7C4VJN0,AF-A0A7C4VJN0-F1,6,96.19,Candidatus Bathyarchaeota archaeon,2026714,ENW39_26550,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A7C4VJN0_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C4VJN0-F1-model_v6.cif
A0A7C4VQX9,AF-A0A7C4VQX9-F1,6,95.38,Candidatus Bathyarchaeota archaeon,2026714,ENW39_15710,Branched-chain amino acid aminotransferase,A0A7C4VQX9_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C4VQX9-F1-model_v6.cif
A0A7C4W5I9,AF-A0A7C4W5I9-F1,6,96.56,Nitrososphaeria archaeon,2268198,livG,High-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,A0A7C4W5I9_9ARCH,36,https://alphafold.ebi.ac.uk/files/AF-A0A7C4W5I9-F1-model_v6.cif
A0A7C4W7X4,AF-A0A7C4W7X4-F1,6,96.0,Candidatus Bathyarchaeota archaeon,2026714,ENU00_01590,Desulfoferrodoxin FeS4 iron-binding domain-containing protein,A0A7C4W7X4_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C4W7X4-F1-model_v6.cif
A0A7C4WIF3,AF-A0A7C4WIF3-F1,6,95.19,Candidatus Bathyarchaeota archaeon,2026714,ENU00_05550,TIGR00266 family protein,A0A7C4WIF3_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A7C4WIF3-F1-model_v6.cif
A0A7C4XD95,AF-A0A7C4XD95-F1,6,97.38,Methanobacteriota archaeon,2026739,ENR78_03115,S58 family peptidase,A0A7C4XD95_UNCMT,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C4XD95-F1-model_v6.cif
A0A7C4XSG8,AF-A0A7C4XSG8-F1,6,97.38,Acidilobales archaeon,2268176,ENV03_01580,SDR family NAD(P)-dependent oxidoreductase,A0A7C4XSG8_9CREN,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C4XSG8-F1-model_v6.cif
A0A7C4ZS34,AF-A0A7C4ZS34-F1,6,96.25,Candidatus Bathyarchaeota archaeon,2026714,ENW39_13120,Proline racemase,A0A7C4ZS34_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A7C4ZS34-F1-model_v6.cif
A0A7C5A9M3,AF-A0A7C5A9M3-F1,6,97.19,Candidatus Woesearchaeota archaeon,2026803,ENW31_02100,Aspartate--tRNA(Asn) ligase,A0A7C5A9M3_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C5A9M3-F1-model_v6.cif
A0A7C5BHP9,AF-A0A7C5BHP9-F1,6,96.25,Methanobacteriota archaeon,2026739,ENW82_01480,nucleoside-diphosphate kinase,A0A7C5BHP9_UNCMT,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C5BHP9-F1-model_v6.cif
A0A7C5FAR6,AF-A0A7C5FAR6-F1,6,97.12,Methanobacteriota archaeon,2026739,ENW62_06350,Rubredoxin,A0A7C5FAR6_UNCMT,35,https://alphafold.ebi.ac.uk/files/AF-A0A7C5FAR6-F1-model_v6.cif
A0A7C5IX38,AF-A0A7C5IX38-F1,6,96.19,Candidatus Bathyarchaeota archaeon,2026714,ENL84_00780,TATA box-binding protein,A0A7C5IX38_9ARCH,34,https://alphafold.ebi.ac.uk/files/AF-A0A7C5IX38-F1-model_v6.cif
A0A7C5K1Z9,AF-A0A7C5K1Z9-F1,6,95.5,Candidatus Woesearchaeota archaeon,2026803,ENL74_00640,Molybdenum ABC transporter ATP-binding protein,A0A7C5K1Z9_9ARCH,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C5K1Z9-F1-model_v6.cif
A0A7C5N6U4,AF-A0A7C5N6U4-F1,6,96.06,Candidatus Bathyarchaeota archaeon,2026714,ENL84_04485,Saccharopine dehydrogenase,A0A7C5N6U4_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C5N6U4-F1-model_v6.cif
A0A7C5T4J2,AF-A0A7C5T4J2-F1,6,96.31,Desulfurococcaceae archaeon,2184738,ENM91_07245,superoxide dismutase,A0A7C5T4J2_9CREN,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C5T4J2-F1-model_v6.cif
A0A7C5T765,AF-A0A7C5T765-F1,6,96.0,Pyrobaculum sp,2004705,ENM65_04945,ParA family protein,A0A7C5T765_9CREN,35,https://alphafold.ebi.ac.uk/files/AF-A0A7C5T765-F1-model_v6.cif
A0A7C5T7W6,AF-A0A7C5T7W6-F1,6,97.38,Pyrobaculum sp,2004705,ENM65_04805,FAD-dependent oxidoreductase,A0A7C5T7W6_9CREN,35,https://alphafold.ebi.ac.uk/files/AF-A0A7C5T7W6-F1-model_v6.cif
A0A7C5TFR7,AF-A0A7C5TFR7-F1,6,96.38,Vulcanisaeta sp,2020871,ENM82_10415,CopG family transcriptional regulator,A0A7C5TFR7_9CREN,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C5TFR7-F1-model_v6.cif
A0A7C5TK25,AF-A0A7C5TK25-F1,6,95.25,Sulfolobales archaeon,2268200,ENM71_02855,NAD-dependent dehydratase,A0A7C5TK25_9CREN,49,https://alphafold.ebi.ac.uk/files/AF-A0A7C5TK25-F1-model_v6.cif
A0A7C5U1D8,AF-A0A7C5U1D8-F1,6,95.06,Candidatus Bathyarchaeota archaeon,2026714,ENM59_05740,DegT/DnrJ/EryC1/StrS aminotransferase family protein,A0A7C5U1D8_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C5U1D8-F1-model_v6.cif
A0A7C5U2B7,AF-A0A7C5U2B7-F1,6,95.31,Candidatus Bathyarchaeota archaeon,2026714,ENM59_02705,Transcriptional regulator,A0A7C5U2B7_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A7C5U2B7-F1-model_v6.cif
A0A7C5U5Q9,AF-A0A7C5U5Q9-F1,6,96.88,Caldiarchaeum subterraneum,311458,ENM42_02975,Quinone oxidoreductase,A0A7C5U5Q9_CALS0,38,https://alphafold.ebi.ac.uk/files/AF-A0A7C5U5Q9-F1-model_v6.cif
A0A7C5U7X1,AF-A0A7C5U7X1-F1,6,96.25,Acidilobales archaeon,2268176,ENM56_02885,PIN domain-containing protein,A0A7C5U7X1_9CREN,30,https://alphafold.ebi.ac.uk/files/AF-A0A7C5U7X1-F1-model_v6.cif
A0A7C5VQ90,AF-A0A7C5VQ90-F1,6,96.69,Nitrososphaeria archaeon,2268198,ENM25_01885,tRNA (cytidine(56)-2'-O)-methyltransferase,A0A7C5VQ90_9ARCH,36,https://alphafold.ebi.ac.uk/files/AF-A0A7C5VQ90-F1-model_v6.cif
A0A7C5X1V8,AF-A0A7C5X1V8-F1,6,97.25,Acidilobales archaeon,2268176,ENM62_05355,Stationary phase survival protein SurE,A0A7C5X1V8_9CREN,34,https://alphafold.ebi.ac.uk/files/AF-A0A7C5X1V8-F1-model_v6.cif
A0A7C5X2V4,AF-A0A7C5X2V4-F1,6,95.12,Desulfurococcaceae archaeon,2184738,ENM91_00655,D-glycerate dehydrogenase,A0A7C5X2V4_9CREN,48,https://alphafold.ebi.ac.uk/files/AF-A0A7C5X2V4-F1-model_v6.cif
A0A7C5XHQ0,AF-A0A7C5XHQ0-F1,6,96.19,Vulcanisaeta sp,2020871,ENM82_03070,Acyl-CoA thioesterase,A0A7C5XHQ0_9CREN,43,https://alphafold.ebi.ac.uk/files/AF-A0A7C5XHQ0-F1-model_v6.cif
A0A7C5XHS9,AF-A0A7C5XHS9-F1,6,95.69,Vulcanisaeta sp,2020871,ENM82_10915,Fumarylacetoacetate hydrolase,A0A7C5XHS9_9CREN,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C5XHS9-F1-model_v6.cif
A0A7C5XJ97,AF-A0A7C5XJ97-F1,6,95.0,Vulcanisaeta sp,2020871,ENM82_01295,phosphoribosyl-ATP diphosphatase,A0A7C5XJ97_9CREN,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C5XJ97-F1-model_v6.cif
A0A7C5XNL1,AF-A0A7C5XNL1-F1,6,96.12,Ignisphaera aggregans,334771,ENM84_07705,peptidyl-tRNA hydrolase,A0A7C5XNL1_9CREN,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C5XNL1-F1-model_v6.cif
A0A7C5XTQ5,AF-A0A7C5XTQ5-F1,6,96.12,Sulfolobales archaeon,2268200,ENM71_00610,"Precorrin-6y C5,15-methyltransferase (Decarboxylating) subunit CbiE",A0A7C5XTQ5_9CREN,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C5XTQ5-F1-model_v6.cif
A0A7C5Y238,AF-A0A7C5Y238-F1,6,95.62,Acidilobales archaeon,2268176,ENM93_05265,ABC transporter ATP-binding protein,A0A7C5Y238_9CREN,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C5Y238-F1-model_v6.cif
A0A7C5Y7Y0,AF-A0A7C5Y7Y0-F1,6,96.56,Caldiarchaeum subterraneum,311458,ENM42_04430,Uncharacterized protein,A0A7C5Y7Y0_CALS0,39,https://alphafold.ebi.ac.uk/files/AF-A0A7C5Y7Y0-F1-model_v6.cif
A0A7C5YCQ1,AF-A0A7C5YCQ1-F1,6,95.94,Acidilobales archaeon,2268176,ENM56_02625,SDR family NAD(P)-dependent oxidoreductase,A0A7C5YCQ1_9CREN,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C5YCQ1-F1-model_v6.cif
A0A7C5YSG7,AF-A0A7C5YSG7-F1,6,96.69,Ignisphaera aggregans,334771,ENL47_03810,ABC transporter ATP-binding protein,A0A7C5YSG7_9CREN,34,https://alphafold.ebi.ac.uk/files/AF-A0A7C5YSG7-F1-model_v6.cif
A0A7C5ZRH2,AF-A0A7C5ZRH2-F1,6,96.75,Candidatus Bathyarchaeota archaeon,2026714,ENU94_02135,NAD-dependent epimerase,A0A7C5ZRH2_9ARCH,36,https://alphafold.ebi.ac.uk/files/AF-A0A7C5ZRH2-F1-model_v6.cif
A0A7C5ZT79,AF-A0A7C5ZT79-F1,6,96.19,Candidatus Bathyarchaeota archaeon,2026714,ENU94_06070,Flagellar accessory protein FlaH,A0A7C5ZT79_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A7C5ZT79-F1-model_v6.cif
A0A7C6AIW3,AF-A0A7C6AIW3-F1,6,96.44,Nitrososphaeria archaeon,2268198,ENX27_03980,Pyridoxal 5'-phosphate synthase lyase subunit PdxS,A0A7C6AIW3_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C6AIW3-F1-model_v6.cif
A0A7C6DX77,AF-A0A7C6DX77-F1,6,95.69,Candidatus Bathyarchaeota archaeon,2026714,ENU94_00385,Aspartyl protease,A0A7C6DX77_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C6DX77-F1-model_v6.cif
A0A7C6E4A0,AF-A0A7C6E4A0-F1,6,95.75,Candidatus Bathyarchaeota archaeon,2026714,ENV32_09405,Type II toxin-antitoxin system HicB family antitoxin,A0A7C6E4A0_9ARCH,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C6E4A0-F1-model_v6.cif
A0A7C6FRR6,AF-A0A7C6FRR6-F1,6,95.94,Methanobacterium sp,2164,GXZ72_00240,Pyruvate ferredoxin oxidoreductase,A0A7C6FRR6_9EURY,41,https://alphafold.ebi.ac.uk/files/AF-A0A7C6FRR6-F1-model_v6.cif
A0A7C7CNG0,AF-A0A7C7CNG0-F1,6,96.12,Candidatus Poseidoniales archaeon,2163009,EYN78_02940,N-acetyltransferase,A0A7C7CNG0_9ARCH,40,https://alphafold.ebi.ac.uk/files/AF-A0A7C7CNG0-F1-model_v6.cif
A0A7C7GE12,AF-A0A7C7GE12-F1,6,95.62,Candidatus Poseidoniales archaeon,2163009,EYN78_08365,N-acetyltransferase,A0A7C7GE12_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C7GE12-F1-model_v6.cif
A0A7C7GIG1,AF-A0A7C7GIG1-F1,6,95.81,Candidatus Poseidoniales archaeon,2163009,EYN78_06405,Glycerol-3-phosphate dehydrogenase,A0A7C7GIG1_9ARCH,34,https://alphafold.ebi.ac.uk/files/AF-A0A7C7GIG1-F1-model_v6.cif
A0A7C7MPZ4,AF-A0A7C7MPZ4-F1,6,96.62,Candidatus Poseidoniales archaeon,2163009,EYO44_02320,7-carboxy-7-deazaguanine synthase,A0A7C7MPZ4_9ARCH,32,https://alphafold.ebi.ac.uk/files/AF-A0A7C7MPZ4-F1-model_v6.cif
A0A7C7PIY6,AF-A0A7C7PIY6-F1,6,96.06,Candidatus Poseidoniales archaeon,2163009,EYO98_06395,NADP transhydrogenase beta-like domain-containing protein,A0A7C7PIY6_9ARCH,46,https://alphafold.ebi.ac.uk/files/AF-A0A7C7PIY6-F1-model_v6.cif
A0A7C7PPS5,AF-A0A7C7PPS5-F1,6,95.56,Candidatus Poseidoniales archaeon,2163009,EYO98_01990,ATP-binding cassette domain-containing protein,A0A7C7PPS5_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A7C7PPS5-F1-model_v6.cif
